location,date,vaccine,total_vaccinations
Argentina,2021-01-19,Sputnik V,256151
Argentina,2021-01-20,Sputnik V,275578
Argentina,2021-01-21,Oxford/AstraZeneca,20
Argentina,2021-01-21,Sinopharm/Beijing,26
Argentina,2021-01-21,Sputnik V,289689
Argentina,2021-01-22,Oxford/AstraZeneca,23
Argentina,2021-01-22,Sinopharm/Beijing,27
Argentina,2021-01-22,Sputnik V,298904
Argentina,2021-01-23,Oxford/AstraZeneca,28
Argentina,2021-01-23,Sputnik V,302844
Argentina,2021-01-24,Oxford/AstraZeneca,29
Argentina,2021-01-24,Sputnik V,303146
Argentina,2021-01-25,Oxford/AstraZeneca,37
Argentina,2021-01-25,Sputnik V,317351
Argentina,2021-01-26,Oxford/AstraZeneca,75
Argentina,2021-01-26,Sinopharm/Beijing,28
Argentina,2021-01-26,Sputnik V,330126
Argentina,2021-01-27,Oxford/AstraZeneca,77
Argentina,2021-01-27,Sputnik V,340231
Argentina,2021-01-28,Sputnik V,356278
Argentina,2021-01-29,Oxford/AstraZeneca,78
Argentina,2021-01-29,Sputnik V,379779
Argentina,2021-01-30,Sputnik V,389093
Argentina,2021-01-31,Sinopharm/Beijing,29
Argentina,2021-01-31,Sputnik V,389716
Argentina,2021-02-01,Oxford/AstraZeneca,97
Argentina,2021-02-01,Sputnik V,409223
Argentina,2021-02-02,Oxford/AstraZeneca,130
Argentina,2021-02-02,Sputnik V,433068
Argentina,2021-02-03,Oxford/AstraZeneca,138
Argentina,2021-02-03,Sinopharm/Beijing,32
Argentina,2021-02-03,Sputnik V,459674
Argentina,2021-02-04,Oxford/AstraZeneca,143
Argentina,2021-02-04,Sinopharm/Beijing,55
Argentina,2021-02-04,Sputnik V,487783
Argentina,2021-02-05,CanSino,2
Argentina,2021-02-05,Oxford/AstraZeneca,148
Argentina,2021-02-05,Sinopharm/Beijing,62
Argentina,2021-02-05,Sputnik V,520810
Argentina,2021-02-06,Sinopharm/Beijing,66
Argentina,2021-02-06,Sputnik V,531735
Argentina,2021-02-07,Sinopharm/Beijing,70
Argentina,2021-02-07,Sputnik V,533114
Argentina,2021-02-08,Oxford/AstraZeneca,150
Argentina,2021-02-08,Sinopharm/Beijing,71
Argentina,2021-02-08,Sputnik V,556537
Argentina,2021-02-09,Oxford/AstraZeneca,152
Argentina,2021-02-09,Sinopharm/Beijing,77
Argentina,2021-02-09,Sputnik V,576728
Argentina,2021-02-10,Oxford/AstraZeneca,155
Argentina,2021-02-10,Sinopharm/Beijing,82
Argentina,2021-02-10,Sputnik V,592346
Argentina,2021-02-11,Oxford/AstraZeneca,158
Argentina,2021-02-11,Sinopharm/Beijing,88
Argentina,2021-02-11,Sputnik V,610192
Argentina,2021-02-12,Oxford/AstraZeneca,159
Argentina,2021-02-12,Sinopharm/Beijing,89
Argentina,2021-02-12,Sputnik V,626030
Argentina,2021-02-13,Oxford/AstraZeneca,161
Argentina,2021-02-13,Sinopharm/Beijing,91
Argentina,2021-02-13,Sputnik V,629062
Argentina,2021-02-14,Sinopharm/Beijing,93
Argentina,2021-02-14,Sputnik V,629212
Argentina,2021-02-15,Pfizer/BioNTech,12
Argentina,2021-02-15,Sinopharm/Beijing,95
Argentina,2021-02-15,Sputnik V,630527
Argentina,2021-02-16,Oxford/AstraZeneca,173
Argentina,2021-02-16,Pfizer/BioNTech,13
Argentina,2021-02-16,Sinopharm/Beijing,97
Argentina,2021-02-16,Sputnik V,631825
Argentina,2021-02-17,Oxford/AstraZeneca,184
Argentina,2021-02-17,Sinopharm/Beijing,100
Argentina,2021-02-17,Sputnik V,656214
Argentina,2021-02-18,Oxford/AstraZeneca,215
Argentina,2021-02-18,Pfizer/BioNTech,14
Argentina,2021-02-18,Sinopharm/Beijing,104
Argentina,2021-02-18,Sputnik V,720006
Argentina,2021-02-19,Oxford/AstraZeneca,399
Argentina,2021-02-19,Sinopharm/Beijing,105
Argentina,2021-02-19,Sputnik V,787711
Argentina,2021-02-20,Oxford/AstraZeneca,547
Argentina,2021-02-20,Sinopharm/Beijing,106
Argentina,2021-02-20,Sputnik V,820183
Argentina,2021-02-21,Oxford/AstraZeneca,948
Argentina,2021-02-21,Sputnik V,839961
Argentina,2021-02-22,Oxford/AstraZeneca,23539
Argentina,2021-02-22,Sputnik V,884935
Argentina,2021-02-23,Oxford/AstraZeneca,73728
Argentina,2021-02-23,Sinopharm/Beijing,108
Argentina,2021-02-23,Sputnik V,921695
Argentina,2021-02-24,Oxford/AstraZeneca,135790
Argentina,2021-02-24,Sinopharm/Beijing,111
Argentina,2021-02-24,Sputnik V,953445
Argentina,2021-02-25,Moderna,58
Argentina,2021-02-25,Oxford/AstraZeneca,188942
Argentina,2021-02-25,Sinopharm/Beijing,115
Argentina,2021-02-25,Sputnik V,979760
Argentina,2021-02-26,Oxford/AstraZeneca,244989
Argentina,2021-02-26,Sinopharm/Beijing,124
Argentina,2021-02-26,Sputnik V,1005393
Argentina,2021-02-27,Oxford/AstraZeneca,258333
Argentina,2021-02-27,Sinopharm/Beijing,125
Argentina,2021-02-27,Sputnik V,1009951
Argentina,2021-02-28,Oxford/AstraZeneca,263683
Argentina,2021-02-28,Sinopharm/Beijing,126
Argentina,2021-02-28,Sputnik V,1010728
Argentina,2021-03-01,Oxford/AstraZeneca,317001
Argentina,2021-03-01,Sinopharm/Beijing,828
Argentina,2021-03-01,Sputnik V,1031273
Argentina,2021-03-02,Oxford/AstraZeneca,368646
Argentina,2021-03-02,Sinopharm/Beijing,5786
Argentina,2021-03-02,Sputnik V,1050301
Argentina,2021-03-03,Oxford/AstraZeneca,404606
Argentina,2021-03-03,Sinopharm/Beijing,23615
Argentina,2021-03-03,Sputnik V,1067985
Argentina,2021-03-04,Oxford/AstraZeneca,430323
Argentina,2021-03-04,Sinopharm/Beijing,87919
Argentina,2021-03-04,Sputnik V,1090047
Argentina,2021-03-05,Oxford/AstraZeneca,454620
Argentina,2021-03-05,Sinopharm/Beijing,154432
Argentina,2021-03-05,Sputnik V,1110991
Argentina,2021-03-06,Oxford/AstraZeneca,462535
Argentina,2021-03-06,Sinopharm/Beijing,196856
Argentina,2021-03-06,Sputnik V,1115592
Argentina,2021-03-07,Oxford/AstraZeneca,467506
Argentina,2021-03-07,Sinopharm/Beijing,203299
Argentina,2021-03-07,Sputnik V,1115969
Argentina,2021-03-08,Oxford/AstraZeneca,499081
Argentina,2021-03-08,Pfizer/BioNTech,15
Argentina,2021-03-08,Sinopharm/Beijing,256241
Argentina,2021-03-08,Sputnik V,1133947
Argentina,2021-03-09,Oxford/AstraZeneca,515423
Argentina,2021-03-09,Sinopharm/Beijing,319354
Argentina,2021-03-09,Sputnik V,1170306
Argentina,2021-03-10,Oxford/AstraZeneca,527509
Argentina,2021-03-10,Sinopharm/Beijing,418085
Argentina,2021-03-10,Sputnik V,1223461
Argentina,2021-03-11,Oxford/AstraZeneca,537452
Argentina,2021-03-11,Sinopharm/Beijing,502974
Argentina,2021-03-11,Sputnik V,1315483
Argentina,2021-03-12,Oxford/AstraZeneca,544975
Argentina,2021-03-12,Sinopharm/Beijing,564115
Argentina,2021-03-12,Sputnik V,1408497
Argentina,2021-03-13,Oxford/AstraZeneca,547950
Argentina,2021-03-13,Sinopharm/Beijing,574621
Argentina,2021-03-13,Sputnik V,1441409
Argentina,2021-03-14,Oxford/AstraZeneca,547999
Argentina,2021-03-14,Sinopharm/Beijing,581278
Argentina,2021-03-14,Sputnik V,1443875
Argentina,2021-03-15,Oxford/AstraZeneca,554421
Argentina,2021-03-15,Sinopharm/Beijing,621895
Argentina,2021-03-15,Sputnik V,1534459
Argentina,2021-03-16,Oxford/AstraZeneca,557545
Argentina,2021-03-16,Sinopharm/Beijing,656571
Argentina,2021-03-16,Sputnik V,1630408
Argentina,2021-03-17,Oxford/AstraZeneca,560255
Argentina,2021-03-17,Sinopharm/Beijing,679536
Argentina,2021-03-17,Sputnik V,1744316
Argentina,2021-03-18,Oxford/AstraZeneca,561940
Argentina,2021-03-18,Sinopharm/Beijing,701679
Argentina,2021-03-18,Sputnik V,1859446
Argentina,2021-03-19,Oxford/AstraZeneca,563785
Argentina,2021-03-19,Pfizer/BioNTech,16
Argentina,2021-03-19,Sinopharm/Beijing,725282
Argentina,2021-03-19,Sputnik V,1960191
Argentina,2021-03-20,Oxford/AstraZeneca,564126
Argentina,2021-03-20,Sinopharm/Beijing,729219
Argentina,2021-03-20,Sputnik V,2006789
Argentina,2021-03-21,CanSino,3
Argentina,2021-03-21,Oxford/AstraZeneca,564149
Argentina,2021-03-21,Sinopharm/Beijing,729568
Argentina,2021-03-21,Sputnik V,2026048
Argentina,2021-03-22,Oxford/AstraZeneca,565620
Argentina,2021-03-22,Sinopharm/Beijing,746965
Argentina,2021-03-22,Sputnik V,2090244
Argentina,2021-03-23,Oxford/AstraZeneca,570309
Argentina,2021-03-23,Sinopharm/Beijing,760524
Argentina,2021-03-23,Sputnik V,2178476
Argentina,2021-03-24,Oxford/AstraZeneca,571587
Argentina,2021-03-24,Sinopharm/Beijing,763665
Argentina,2021-03-24,Sputnik V,2211523
Argentina,2021-03-25,Oxford/AstraZeneca,572938
Argentina,2021-03-25,Sinopharm/Beijing,774568
Argentina,2021-03-25,Sputnik V,2302472
Argentina,2021-03-26,Oxford/AstraZeneca,575590
Argentina,2021-03-26,Sinopharm/Beijing,783738
Argentina,2021-03-26,Sputnik V,2384224
Argentina,2021-03-27,Oxford/AstraZeneca,576479
Argentina,2021-03-27,Sinopharm/Beijing,786045
Argentina,2021-03-27,Sputnik V,2436117
Argentina,2021-03-28,Oxford/AstraZeneca,577378
Argentina,2021-03-28,Pfizer/BioNTech,18
Argentina,2021-03-28,Sinopharm/Beijing,786520
Argentina,2021-03-28,Sputnik V,2455566
Argentina,2021-03-29,Oxford/AstraZeneca,580962
Argentina,2021-03-29,Pfizer/BioNTech,19
Argentina,2021-03-29,Sinopharm/Beijing,798023
Argentina,2021-03-29,Sputnik V,2560676
Argentina,2021-03-30,Oxford/AstraZeneca,583831
Argentina,2021-03-30,Sinopharm/Beijing,808523
Argentina,2021-03-30,Sputnik V,2710332
Argentina,2021-03-31,Oxford/AstraZeneca,603762
Argentina,2021-03-31,Sinopharm/Beijing,820532
Argentina,2021-03-31,Sputnik V,2853349
Argentina,2021-04-01,Oxford/AstraZeneca,629328
Argentina,2021-04-01,Sinopharm/Beijing,824293
Argentina,2021-04-01,Sputnik V,2941162
Argentina,2021-04-02,Oxford/AstraZeneca,642146
Argentina,2021-04-02,Sinopharm/Beijing,826614
Argentina,2021-04-02,Sputnik V,2994183
Argentina,2021-04-03,Oxford/AstraZeneca,660791
Argentina,2021-04-03,Sinopharm/Beijing,827705
Argentina,2021-04-03,Sputnik V,3048926
Argentina,2021-04-04,Moderna,59
Argentina,2021-04-04,Oxford/AstraZeneca,675183
Argentina,2021-04-04,Sinopharm/Beijing,829366
Argentina,2021-04-04,Sputnik V,3081360
Argentina,2021-04-05,Oxford/AstraZeneca,709009
Argentina,2021-04-05,Sinopharm/Beijing,858494
Argentina,2021-04-05,Sputnik V,3184407
Argentina,2021-04-06,Oxford/AstraZeneca,735466
Argentina,2021-04-06,Sinopharm/Beijing,933640
Argentina,2021-04-06,Sputnik V,3276824
Argentina,2021-04-07,Oxford/AstraZeneca,765703
Argentina,2021-04-07,Sinopharm/Beijing,1051949
Argentina,2021-04-07,Sputnik V,3366727
Argentina,2021-04-08,Oxford/AstraZeneca,789794
Argentina,2021-04-08,Pfizer/BioNTech,22
Argentina,2021-04-08,Sinopharm/Beijing,1182235
Argentina,2021-04-08,Sputnik V,3448318
Argentina,2021-04-09,Oxford/AstraZeneca,808146
Argentina,2021-04-09,Sinopharm/Beijing,1329813
Argentina,2021-04-09,Sputnik V,3522798
Argentina,2021-04-10,Oxford/AstraZeneca,812962
Argentina,2021-04-10,Sinopharm/Beijing,1383800
Argentina,2021-04-10,Sputnik V,3556939
Argentina,2021-04-11,Oxford/AstraZeneca,813828
Argentina,2021-04-11,Sinopharm/Beijing,1416655
Argentina,2021-04-11,Sputnik V,3571532
Argentina,2021-04-12,Oxford/AstraZeneca,823741
Argentina,2021-04-12,Sinopharm/Beijing,1512000
Argentina,2021-04-12,Sputnik V,3648089
Argentina,2021-04-13,Moderna,60
Argentina,2021-04-13,Oxford/AstraZeneca,832077
Argentina,2021-04-13,Sinopharm/Beijing,1594471
Argentina,2021-04-13,Sputnik V,3743350
Argentina,2021-04-14,Oxford/AstraZeneca,838514
Argentina,2021-04-14,Pfizer/BioNTech,23
Argentina,2021-04-14,Sinopharm/Beijing,1661841
Argentina,2021-04-14,Sputnik V,3841231
Argentina,2021-04-15,Oxford/AstraZeneca,842712
Argentina,2021-04-15,Sinopharm/Beijing,1713010
Argentina,2021-04-15,Sputnik V,3936972
Argentina,2021-04-16,Oxford/AstraZeneca,845995
Argentina,2021-04-16,Sinopharm/Beijing,1759115
Argentina,2021-04-16,Sputnik V,4011316
Argentina,2021-04-17,Oxford/AstraZeneca,846888
Argentina,2021-04-17,Sinopharm/Beijing,1775228
Argentina,2021-04-17,Sputnik V,4040029
Argentina,2021-04-18,Oxford/AstraZeneca,848162
Argentina,2021-04-18,Sinopharm/Beijing,1777491
Argentina,2021-04-18,Sputnik V,4056395
Argentina,2021-04-19,Oxford/AstraZeneca,863549
Argentina,2021-04-19,Pfizer/BioNTech,24
Argentina,2021-04-19,Sinopharm/Beijing,1802446
Argentina,2021-04-19,Sputnik V,4106534
Argentina,2021-04-20,Oxford/AstraZeneca,916081
Argentina,2021-04-20,Sinopharm/Beijing,1826478
Argentina,2021-04-20,Sputnik V,4152704
Argentina,2021-04-21,CanSino,4
Argentina,2021-04-21,Moderna,61
Argentina,2021-04-21,Oxford/AstraZeneca,1036355
Argentina,2021-04-21,Sinopharm/Beijing,1847690
Argentina,2021-04-21,Sputnik V,4185189
Argentina,2021-04-22,CanSino,5
Argentina,2021-04-22,Oxford/AstraZeneca,1153673
Argentina,2021-04-22,Sinopharm/Beijing,1863245
Argentina,2021-04-22,Sputnik V,4230519
Argentina,2021-04-23,Oxford/AstraZeneca,1271998
Argentina,2021-04-23,Sinopharm/Beijing,1877341
Argentina,2021-04-23,Sputnik V,4292669
Argentina,2021-04-24,Oxford/AstraZeneca,1325859
Argentina,2021-04-24,Sinopharm/Beijing,1878912
Argentina,2021-04-24,Sputnik V,4329468
Argentina,2021-04-25,Oxford/AstraZeneca,1358319
Argentina,2021-04-25,Sinopharm/Beijing,1879286
Argentina,2021-04-25,Sputnik V,4345954
Argentina,2021-04-26,Oxford/AstraZeneca,1431411
Argentina,2021-04-26,Sinopharm/Beijing,1886852
Argentina,2021-04-26,Sputnik V,4437422
Argentina,2021-04-27,Oxford/AstraZeneca,1490523
Argentina,2021-04-27,Sinopharm/Beijing,1894209
Argentina,2021-04-27,Sputnik V,4524703
Argentina,2021-04-28,Oxford/AstraZeneca,1542647
Argentina,2021-04-28,Pfizer/BioNTech,25
Argentina,2021-04-28,Sinopharm/Beijing,1922164
Argentina,2021-04-28,Sputnik V,4603626
Argentina,2021-04-29,Oxford/AstraZeneca,1581360
Argentina,2021-04-29,Sinopharm/Beijing,1962293
Argentina,2021-04-29,Sputnik V,4681062
Argentina,2021-04-30,Oxford/AstraZeneca,1611900
Argentina,2021-04-30,Sinopharm/Beijing,1998450
Argentina,2021-04-30,Sputnik V,4729318
Argentina,2021-05-01,Oxford/AstraZeneca,1617156
Argentina,2021-05-01,Sinopharm/Beijing,2002163
Argentina,2021-05-01,Sputnik V,4740650
Argentina,2021-05-02,Oxford/AstraZeneca,1623746
Argentina,2021-05-02,Sinopharm/Beijing,2016293
Argentina,2021-05-02,Sputnik V,4760106
Argentina,2021-05-03,Oxford/AstraZeneca,1647358
Argentina,2021-05-03,Pfizer/BioNTech,26
Argentina,2021-05-03,Sinopharm/Beijing,2090257
Argentina,2021-05-03,Sputnik V,4837252
Argentina,2021-05-04,Oxford/AstraZeneca,1670954
Argentina,2021-05-04,Sinopharm/Beijing,2184354
Argentina,2021-05-04,Sputnik V,4951612
Argentina,2021-05-05,Oxford/AstraZeneca,1695863
Argentina,2021-05-05,Sinopharm/Beijing,2262924
Argentina,2021-05-05,Sputnik V,5093130
Argentina,2021-05-06,Oxford/AstraZeneca,1713695
Argentina,2021-05-06,Pfizer/BioNTech,27
Argentina,2021-05-06,Sinopharm/Beijing,2327514
Argentina,2021-05-06,Sputnik V,5213523
Argentina,2021-05-07,CanSino,6
Argentina,2021-05-07,Oxford/AstraZeneca,1727649
Argentina,2021-05-07,Sinopharm/Beijing,2423623
Argentina,2021-05-07,Sputnik V,5308838
Argentina,2021-05-08,Oxford/AstraZeneca,1731707
Argentina,2021-05-08,Sinopharm/Beijing,2465242
Argentina,2021-05-08,Sputnik V,5337442
Argentina,2021-05-09,Oxford/AstraZeneca,1733446
Argentina,2021-05-09,Sinopharm/Beijing,2468741
Argentina,2021-05-09,Sputnik V,5350900
Argentina,2021-05-10,Oxford/AstraZeneca,1743369
Argentina,2021-05-10,Sinopharm/Beijing,2532885
Argentina,2021-05-10,Sputnik V,5418504
Argentina,2021-05-11,Moderna,62
Argentina,2021-05-11,Oxford/AstraZeneca,1751629
Argentina,2021-05-11,Pfizer/BioNTech,28
Argentina,2021-05-11,Sinopharm/Beijing,2597707
Argentina,2021-05-11,Sputnik V,5485869
Argentina,2021-05-12,Moderna,63
Argentina,2021-05-12,Oxford/AstraZeneca,1757407
Argentina,2021-05-12,Sinopharm/Beijing,2737054
Argentina,2021-05-12,Sputnik V,5538360
Argentina,2021-05-13,Oxford/AstraZeneca,1763100
Argentina,2021-05-13,Sinopharm/Beijing,2885761
Argentina,2021-05-13,Sputnik V,5576114
Argentina,2021-05-14,Oxford/AstraZeneca,1772292
Argentina,2021-05-14,Sinopharm/Beijing,3034089
Argentina,2021-05-14,Sputnik V,5615095
Argentina,2021-05-15,Oxford/AstraZeneca,1775370
Argentina,2021-05-15,Sinopharm/Beijing,3084530
Argentina,2021-05-15,Sputnik V,5656666
Argentina,2021-05-16,Oxford/AstraZeneca,1776844
Argentina,2021-05-16,Sinopharm/Beijing,3127840
Argentina,2021-05-16,Sputnik V,5679481
Argentina,2021-05-17,Oxford/AstraZeneca,1784144
Argentina,2021-05-17,Sinopharm/Beijing,3223580
Argentina,2021-05-17,Sputnik V,5763407
Argentina,2021-05-18,Oxford/AstraZeneca,1793934
Argentina,2021-05-18,Sinopharm/Beijing,3268520
Argentina,2021-05-18,Sputnik V,5906953
Argentina,2021-05-19,Oxford/AstraZeneca,1801280
Argentina,2021-05-19,Pfizer/BioNTech,29
Argentina,2021-05-19,Sinopharm/Beijing,3301859
Argentina,2021-05-19,Sputnik V,6033999
Argentina,2021-05-20,Oxford/AstraZeneca,1811783
Argentina,2021-05-20,Sinopharm/Beijing,3337124
Argentina,2021-05-20,Sputnik V,6170839
Argentina,2021-05-21,Oxford/AstraZeneca,1820983
Argentina,2021-05-21,Sinopharm/Beijing,3415328
Argentina,2021-05-21,Sputnik V,6260715
Argentina,2021-05-22,Oxford/AstraZeneca,1822507
Argentina,2021-05-22,Sinopharm/Beijing,3459319
Argentina,2021-05-22,Sputnik V,6315651
Argentina,2021-05-23,Oxford/AstraZeneca,1822923
Argentina,2021-05-23,Sinopharm/Beijing,3482196
Argentina,2021-05-23,Sputnik V,6337627
Argentina,2021-05-24,Oxford/AstraZeneca,1824099
Argentina,2021-05-24,Pfizer/BioNTech,30
Argentina,2021-05-24,Sinopharm/Beijing,3501683
Argentina,2021-05-24,Sputnik V,6405332
Argentina,2021-05-25,Oxford/AstraZeneca,1846174
Argentina,2021-05-25,Sinopharm/Beijing,3504861
Argentina,2021-05-25,Sputnik V,6443497
Argentina,2021-05-26,Oxford/AstraZeneca,1872991
Argentina,2021-05-26,Sinopharm/Beijing,3538439
Argentina,2021-05-26,Sputnik V,6536182
Argentina,2021-05-27,Oxford/AstraZeneca,1918443
Argentina,2021-05-27,Sinopharm/Beijing,3571686
Argentina,2021-05-27,Sputnik V,6626906
Argentina,2021-05-28,Oxford/AstraZeneca,2010780
Argentina,2021-05-28,Sinopharm/Beijing,3600584
Argentina,2021-05-28,Sputnik V,6751759
Argentina,2021-05-29,Oxford/AstraZeneca,2120694
Argentina,2021-05-29,Pfizer/BioNTech,31
Argentina,2021-05-29,Sinopharm/Beijing,3610486
Argentina,2021-05-29,Sputnik V,6859434
Argentina,2021-05-30,Oxford/AstraZeneca,2179805
Argentina,2021-05-30,Sinopharm/Beijing,3612103
Argentina,2021-05-30,Sputnik V,6927539
Argentina,2021-05-31,Oxford/AstraZeneca,2306952
Argentina,2021-05-31,Sinopharm/Beijing,3629002
Argentina,2021-05-31,Sputnik V,7082494
Argentina,2021-06-01,Oxford/AstraZeneca,2456013
Argentina,2021-06-01,Sinopharm/Beijing,3642555
Argentina,2021-06-01,Sputnik V,7234805
Argentina,2021-06-02,CanSino,7
Argentina,2021-06-02,Oxford/AstraZeneca,2619532
Argentina,2021-06-02,Sinopharm/Beijing,3655694
Argentina,2021-06-02,Sputnik V,7367505
Argentina,2021-06-03,Oxford/AstraZeneca,2842416
Argentina,2021-06-03,Sinopharm/Beijing,3667903
Argentina,2021-06-03,Sputnik V,7482057
Argentina,2021-06-04,Oxford/AstraZeneca,3147445
Argentina,2021-06-04,Sinopharm/Beijing,3683757
Argentina,2021-06-04,Sputnik V,7569331
Argentina,2021-06-05,Oxford/AstraZeneca,3425159
Argentina,2021-06-05,Sinopharm/Beijing,3688428
Argentina,2021-06-05,Sputnik V,7613744
Argentina,2021-06-06,Oxford/AstraZeneca,3613025
Argentina,2021-06-06,Sinopharm/Beijing,3690462
Argentina,2021-06-06,Sputnik V,7641186
Argentina,2021-06-07,Oxford/AstraZeneca,3892429
Argentina,2021-06-07,Sinopharm/Beijing,3699816
Argentina,2021-06-07,Sputnik V,7705566
Argentina,2021-06-08,Oxford/AstraZeneca,4169863
Argentina,2021-06-08,Sinopharm/Beijing,3707919
Argentina,2021-06-08,Sputnik V,7789931
Argentina,2021-06-09,Moderna,64
Argentina,2021-06-09,Oxford/AstraZeneca,4428896
Argentina,2021-06-09,Pfizer/BioNTech,32
Argentina,2021-06-09,Sinopharm/Beijing,3714711
Argentina,2021-06-09,Sputnik V,7896462
Argentina,2021-06-10,Oxford/AstraZeneca,4652789
Argentina,2021-06-10,Sinopharm/Beijing,3720748
Argentina,2021-06-10,Sputnik V,8001592
Argentina,2021-06-11,Oxford/AstraZeneca,4836974
Argentina,2021-06-11,Sinopharm/Beijing,3731478
Argentina,2021-06-11,Sputnik V,8173480
Argentina,2021-06-12,Oxford/AstraZeneca,4902958
Argentina,2021-06-12,Sinopharm/Beijing,3743552
Argentina,2021-06-12,Sputnik V,8280501
Argentina,2021-06-13,Oxford/AstraZeneca,4947611
Argentina,2021-06-13,Sinopharm/Beijing,3745375
Argentina,2021-06-13,Sputnik V,8316698
Argentina,2021-06-14,Oxford/AstraZeneca,5074442
Argentina,2021-06-14,Sinopharm/Beijing,3756008
Argentina,2021-06-14,Sputnik V,8417203
Argentina,2021-06-15,Oxford/AstraZeneca,5203744
Argentina,2021-06-15,Sinopharm/Beijing,3761789
Argentina,2021-06-15,Sputnik V,8539947
Argentina,2021-06-16,Oxford/AstraZeneca,5389461
Argentina,2021-06-16,Sinopharm/Beijing,3766589
Argentina,2021-06-16,Sputnik V,8636548
Argentina,2021-06-17,Oxford/AstraZeneca,5618565
Argentina,2021-06-17,Sinopharm/Beijing,3772918
Argentina,2021-06-17,Sputnik V,8715504
Argentina,2021-06-18,Moderna,65
Argentina,2021-06-18,Oxford/AstraZeneca,5943286
Argentina,2021-06-18,Pfizer/BioNTech,35
Argentina,2021-06-18,Sinopharm/Beijing,3778813
Argentina,2021-06-18,Sputnik V,8784186
Argentina,2021-06-19,Oxford/AstraZeneca,6129805
Argentina,2021-06-19,Sinopharm/Beijing,3781382
Argentina,2021-06-19,Sputnik V,8827691
Argentina,2021-06-20,Oxford/AstraZeneca,6207760
Argentina,2021-06-20,Sinopharm/Beijing,3781674
Argentina,2021-06-20,Sputnik V,8848657
Argentina,2021-06-21,Oxford/AstraZeneca,6346045
Argentina,2021-06-21,Sinopharm/Beijing,3782968
Argentina,2021-06-21,Sputnik V,8878764
Argentina,2021-06-22,Oxford/AstraZeneca,6573503
Argentina,2021-06-22,Pfizer/BioNTech,36
Argentina,2021-06-22,Sinopharm/Beijing,3788910
Argentina,2021-06-22,Sputnik V,8933216
Argentina,2021-06-23,Oxford/AstraZeneca,6767317
Argentina,2021-06-23,Sinopharm/Beijing,3813247
Argentina,2021-06-23,Sputnik V,8978212
Argentina,2021-06-24,Oxford/AstraZeneca,6942442
Argentina,2021-06-24,Sinopharm/Beijing,3886383
Argentina,2021-06-24,Sputnik V,9034459
Argentina,2021-06-25,CanSino,8
Argentina,2021-06-25,Oxford/AstraZeneca,7162031
Argentina,2021-06-25,Sinopharm/Beijing,3996227
Argentina,2021-06-25,Sputnik V,9081796
Argentina,2021-06-26,Oxford/AstraZeneca,7355209
Argentina,2021-06-26,Sinopharm/Beijing,4087920
Argentina,2021-06-26,Sputnik V,9113068
Argentina,2021-06-27,Oxford/AstraZeneca,7454429
Argentina,2021-06-27,Sinopharm/Beijing,4145764
Argentina,2021-06-27,Sputnik V,9132222
